session,Period,Subject,Num_subject,Num_others,choice_task1,choice_task2,choice_task3,choice_task4,choice_same_gender,choice_diff_gender,choice_same_neutral,choice_diff_neutral,random_play_order,play_order,game1,game2,game3,game4,year,campus,roomate,gender,visitation,visitation_first,visitation_second,visitation_third,nonvisitation_first,nonvisitation_second,nonvisitation_third,num_male_total,num_male_others,num_female_total,num_female_others,even_num_male,even_num_female,temp_rand_matching1,temp_rand_matching2,temp_rand_matching3,temp_rand_matching4,temp_matching_rank1,temp_matching_id_sg,temp_matching_rank2,temp_matching_id_dg,temp_matching_rank3,temp_matching_id_sn,temp_matching_rank4,temp_matching_id_dn,quiz_phase,quiz1,quiz2,quiz3,quiz4,quiz5,quiz6,quiz7,quiz8,answer_stage,choice_game1,stage_control,choice_game2,choice_game3,choice_game4,guess_number,confidence_num_other_choice1,identity,whichpart_identity,part2_choice1,part2_choice2,part2_choice3,part2_choice4,part2_choice5,part2_choice6,part2_choice7,part2_choice8,part2_choice9,part2_choice10,part2_choice11,age,major,nationality,religion,religion_other,opinion_experiment,friend,trust,pass,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,generous,lazy,frugal,impatient,studious,cautious,artistic,patient,reckless,rand_check,check_order,check1,check2,check3,check4,female_avatar,male_avatar,neutral_female_avatar,neutral_male_avatar,payment_task_part1,partner_choice,payment_choice_part1,earning,total_num_choice1_task1,total_num_choice1_task2,total_num_choice1_task3,total_num_choice1_task4,other_num_choice1_task1,other_num_choice1_task2,other_num_choice1_task3,other_num_choice1_task4,num_other_choice1,deviation,extra_point,rand_lottery,selected_row,part2_payment_choice,rand_optionb,threshold_optionb,part2_payment,rand_final,payment_part,final_earning,final_cash,selected_order_task,exp_effect
15,1,8,20,19,1,1,1,1,1,1,1,1,0.452,3,2,1,3,4,4,1,0,1,1,Freedom,Having people of another gender come over,Surrounded by more liberal people,I guess privacy - whatever that means in today's world! ,,,10,9,10,10,1,1,0.526241829,0.037805055,0.354018024,0.886299822,6,3,9,9,5,3,3,3,9,4,2,4,2,1,2,1,1,0,1,1,1,1,1,10,100,1,Thought there must be something with the avatar in this research. I guess I thought girls are more likely to Choose 1 because they are generous. ,1,1,1,1,1,1,1,1,2,2,2,23,Economics,Nepalese,6,,Decision  Making,10,1,2,5,5,2,5,3,5,3,5,1,4,5,1,1,2,3,3,3,1,4,2,4,4,5,2,2,1,3,5,7.272,8,2,1,4,3,3,3,1,3,1,1,1,60,8,6,12,13,7,6,11,12,6,4,0,0.93177268,11,2,0.104123448,1,60,0.691843147,1,60,114,2,0
16,1,8,20,19,1,1,1,1,1,1,1,1,0.894,6,4,2,1,3,2,1,1,1,1,All genders allowed,Bigger Freedom,More Party friendly,Smaller Community,More Privacy,Less used resources,10,9,10,10,1,1,0.936038489,0.648149555,0.012155157,0.573377336,1,1,5,5,10,5,6,6,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,18,90,0,,1,1,1,1,1,1,1,2,2,2,2,20,Electrical Engineer,Mexico,8,,Risk Assesment based on opposing force (Identity of human vs probability),5,0,2,2,4,5,4,5,5,3,2,4,2,4,4,4,3,4,2,2,1,2,3,3,4,3,3,3,3,3,4,5.976,6,1,4,3,2,2,1,3,3,3,2,1,0,6,8,11,12,5,8,10,11,11,7,0,0.796632524,9,2,0.030827694,0.8,60,0.086787545,2,60,114,4,0
17,1,8,8,7,1,1,1,2,1,1,1,2,0.235,2,1,2,4,3,2,1,1,1,1,You can bring members of any gender inside the building.,,,"There is a greater chance of getting a single room for the dorms, which is great.",,,4,3,4,4,1,1,0.972263612,0.979739594,0.252582916,0.627026861,1,1,1,1,4,2,1,1,9,4,1,4,2,1,2,1,1,0,1,1,1,2,1,2,79,1,If they were male or female or anonymous.,1,1,1,1,1,1,2,2,2,2,2,20,Biology,Nepali,7,-,"It was about how one's decision making depends on one's trust on the other subject, and probability and risk factors in decision.",2,0,2,2,4,3,4,2,3,5,4,2,3,5,4,4,2,4,5,5,1,1,2,3,3,5,5,2,5,3,5,21.576,22,4,2,3,1,2,1,3,3,2,1,1,60,3,3,6,4,2,3,5,4,2,0,3,0.203496292,3,1,0.333109329,0.2,40,0.115299865,2,40,86,2,0
18,1,8,10,9,1,1,1,1,1,1,1,1,0.312,2,1,2,4,3,4,1,0,1,1,Female Friends can come over ,Femail love interests can sleep over,Better represents the college ecosystem,Less distraction ,Less noise from parties,,5,4,5,5,0,0,0.516556177,0.473350437,0.865109798,0.189123523,2,1,2,2,2,1,5,5,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,4,100,0,,1,1,1,1,1,1,1,2,2,2,2,22,Economics,Indian,7,,Whether we are emotional or rational in our decision making process ,2,1,2,3,4,4,4,2,5,3,3,1,1,4,4,4,2,2,1,1,1,1,2,3,3,4,3,3,2,4,4,23.4,24,4,3,2,1,2,1,1,1,2,2,1,0,2,4,6,6,1,4,5,5,1,3,0,0.759667901,9,2,0.308569896,0.8,60,0.42873576,2,60,114,2,0
19,1,8,10,9,1,1,1,1,1,1,1,1,0.661,4,2,1,4,3,3,1,0,1,0,no restriction on the type of friends/guests who can visit you,,,generally quiet,people know each other quite well,less policy violations,5,4,5,5,0,0,0.6620453,0.894810022,0.442949443,0.770684637,1,1,1,1,4,2,2,2,9,4,2,4,2,1,2,2,2,0,1,1,1,1,1,5,90,0,,1,1,1,1,1,1,1,2,2,2,2,21,economics,Ivorian,5,-,attitude towards risk,2,0,2,2,4,5,3,5,4,3,4,4,2,2,4,4,1,1,4,3,2,4,2,2,3,4,2,2,1,2,4,18.48,19,4,1,2,3,2,1,1,1,1,2,1,0,4,4,7,7,3,4,6,6,4,1,2,0.410994402,5,1,0.09240237,0.4,40,0.881420616,1,2,32.8,2,0
20,1,8,12,11,1,2,2,2,1,2,2,2,0.923,6,4,2,1,3,4,1,1,1,1,"hanging out with friends of the opposite gender in a chill environment (tea, conversations, gatherings...)",,,they are usually quieter. ,,,6,5,6,6,1,1,0.877560909,0.816491026,0.068207994,0.141540879,3,2,1,1,6,3,6,6,9,4,2,4,2,1,2,1,1,0,2,1,2,1,2,2,95,1,male,1,1,1,1,1,1,1,1,1,2,2,21,Politics,Emirati,5,-,the ability of strangers to cooperate when it comes to decision-making and to trust that other people will positively act for a greater total payoff. ,0,1,2,4,3,2,4,5,4,2,2,3,1,3,5,4,2,2,3,4,2,5,3,4,3,5,2,1,2,1,4,23.904,24,4,3,2,1,2,1,3,3,3,1,2,40,4,4,6,6,3,4,6,6,6,4,0,0.875279795,10,2,0.098736329,0.9,60,0.643727578,1,40,86,4,0
1,1,9,16,15,1,1,1,1,1,1,1,1,0.282,2,1,2,4,3,2,1,1,2,1,friends can come,,,more quiet,,,8,8,8,7,1,1,0.40501173,0.976589704,0.677862823,0.752533354,6,3,1,1,4,2,3,3,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,7,100,0,,1,1,1,1,1,1,1,1,1,1,2,20,economics,Kazakhstan,5,,"making choices under uncertainty, emotional decision making, trust",4,0,2,1,3,3,5,5,5,3,2,4,1,4,5,5,1,5,3,1,2,4,3,2,3,3,4,3,3,3,3,9.696,10,2,3,4,1,2,1,3,3,1,1,1,60,5,6,9,10,4,6,8,9,4,3,0,0.281568505,4,1,0.511222148,0.3,40,0.730972111,1,60,114,1,0
2,1,9,14,13,1,1,1,1,1,1,1,1,0.63,4,2,1,4,3,3,1,0,2,1,interesting environment,my male friends can visit me,"coeducation is something that seems more natural to me than separating the sexes, so I feel better there",it is more quiet than visitation,it is cleaner,you can make friends with Emirati more easily,7,7,7,6,0,0,0.278541855,0.416033709,0.056429726,0.545518962,6,3,4,4,7,4,3,3,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,7,80,0,,1,1,1,1,1,1,1,1,1,1,2,22,Mathematics,Polish,2,,decison making depending on the risk,2,0,2,2,3,4,4,5,3,3,2,4,2,3,5,5,1,1,5,1,4,5,4,2,3,4,5,5,3,4,1,14.232,15,3,2,1,4,2,1,3,3,4,1,1,60,5,7,12,13,4,7,11,12,7,0,3,0.981503679,11,2,0.251164769,1,60,0.840483553,1,63,118.2,3,0
3,1,9,14,13,2,1,2,2,2,1,2,2,0.124,1,1,2,3,4,4,1,1,2,1,social circle is wider,easy access for study groups,"convenient for events, etc",privacy,quieter living space,live on your own terms ,7,7,7,6,0,0,0.149806838,0.559576233,0.709645581,0.24088712,7,4,5,5,2,1,5,5,9,4,1,4,2,1,2,1,1,0,2,1,1,2,2,2,30,0,,1,1,1,1,1,1,1,1,1,1,2,21,Literature,Indian,7,-,"decision-making and trust, involving elements of game theory",2,1,2,4,4,3,5,4,5,4,4,3,1,2,5,5,2,3,1,1,1,1,3,3,3,4,4,3,5,5,4,3.36,4,1,3,4,2,2,1,1,3,2,1,1,60,3,4,6,7,3,4,6,7,3,1,2,0.609442596,7,1,0.974673363,0.6,40,0.862853213,1,62,116.8,2,0
4,1,9,16,15,2,2,1,1,2,2,1,1,0.965,6,4,2,1,3,2,1,1,1,1,I can have may girlfriend over,I can host parties in my room,I get to interact with a broader variety of people on a daily basis,More privacy,No risk of others wanting you to host parties you dont want to ,I could make better friends because of a more exclusive group,8,7,8,8,1,1,0.017545141,0.505366923,0.089802433,0.131133073,8,4,5,5,8,4,8,8,9,4,2,4,2,1,2,1,1,0,1,1,2,2,1,5,40,0,,1,1,1,1,1,1,1,2,2,2,2,20,Economics,Colombia - United States,8,,About how economic decisions change when there is a lottery that is attached to a specific identity. Both tasks had similar payoff schmes but task 1 had an identity,2,1,2,2,4,5,5,3,5,2,3,2,1,4,5,4,3,3,4,2,1,2,3,2,2,4,4,4,5,3,5,5.976,6,1,4,3,2,3,3,3,3,2,2,2,40,4,3,8,7,4,3,7,6,6,1,2,0.38975247,5,1,0.042097337,0.4,40,0.205709898,2,40,86,2,0
5,1,9,16,15,1,1,1,1,1,1,1,1,0.506,4,2,1,4,3,4,1,0,2,1,Hang out with male friends,More noise around,Have opposite gender visitors from abroad,More quiet environment,Less smoking issues,Higher chance of single room,8,8,8,7,1,1,0.244801775,0.065104715,0.912249297,0.088901959,5,3,7,7,2,1,8,8,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,7,80,0,,1,1,1,1,1,1,1,1,1,1,2,22,Economics,Peru,2,,Choices by gende (influenced by gender) and risk ,4,0,2,4,2,4,4,5,3,2,2,4,1,4,4,4,3,2,1,3,1,1,4,2,2,5,4,3,5,2,2,22.416,23,4,3,1,2,2,1,3,3,2,2,1,0,5,3,7,8,4,3,6,7,3,4,0,0.523390137,6,1,0.61127357,0.5,40,0.459658351,2,40,86,1,1
6,1,9,18,17,1,2,2,2,1,2,2,2,0.48,3,2,1,3,4,2,1,0,1,1,interact with both genders easily,,,It is more quite since it not likely for parties to happen in the building,,,9,8,9,9,0,0,0.36328764,0.428557574,0.233437858,0.931710024,5,3,8,8,8,4,1,1,9,4,2,4,2,1,2,1,1,0,2,1,1,2,2,3,83,0,,1,1,1,1,1,1,1,1,1,2,2,22,civil engineering,Tanzania,1,,risk taking experiemnt aimed to test how much people avoid making decisions which involves a high risk of loss,6,1,2,4,5,5,5,4,5,5,4,5,1,3,5,5,1,1,5,3,5,5,5,3,1,3,5,5,2,5,3,11.232,12,2,4,3,1,2,3,2,2,2,2,2,40,6,4,5,8,5,4,5,8,4,1,2,0.80539086,9,1,0.258255595,0.8,40,0.509732956,1,42,88.8,1,0
7,1,9,16,15,1,1,1,1,1,1,1,1,0.795,5,3,2,1,4,4,1,0,2,1,get to see male friends,,,privacy,,,8,8,8,7,1,1,0.574557797,0.243750516,0.45734364,0.150857223,3,2,7,7,3,2,7,7,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,12,50,0,-,1,1,1,1,1,1,1,1,2,2,2,22,Arab Crossroads Studies,American,5,-,decision making based on what you think your chances are of receiving the highest payout,1,1,2,2,5,4,5,5,5,4,2,2,1,2,4,4,1,1,2,1,1,1,4,1,2,4,2,4,4,3,2,8.328,9,2,3,1,4,2,1,3,3,4,1,1,60,6,7,13,13,5,7,12,12,12,0,3,0.061356052,1,1,0.947245012,0,40,0.931040305,1,63,118.2,4,0
8,1,9,16,15,1,1,1,1,1,1,1,1,0.196,2,1,2,4,3,4,1,1,1,1,more community integration,more visitors and company,more parties/ social events. ,more silence,less distractions,you become closer to people of the same sex,8,7,8,8,1,1,0.370028357,0.076850075,0.129936266,0.317789427,5,3,7,7,8,4,6,6,9,4,1,4,1,2,1,1,1,0,1,1,1,1,1,7,50,0,,1,1,1,1,1,1,1,2,2,2,2,23,theater,costa rica,10,Baha'i,"game theory essentially, and seeing if the gendered avatars affect decision making. ",1,0,2,5,1,5,3,4,3,1,4,4,3,3,5,5,1,1,5,3,1,5,1,5,3,3,3,3,1,3,3,1.008,2,1,2,4,3,2,1,1,1,3,1,1,60,5,4,6,8,4,4,5,7,4,3,0,0.164760972,2,1,0.383118405,0.1,40,0.134567451,2,40,86,4,1
9,1,9,18,17,1,1,1,1,1,1,1,1,0.991,6,4,2,1,3,3,1,0,2,1,can have opposite gender friends come over,can have parties,can have more people in the building,"parties are loud and annoying, so few parties on non-vis floor",overall quietness,do not need to wear bras to walking on the floor/ in the building,9,9,9,8,0,0,0.338568756,0.343060526,0.818264268,0.506139997,7,4,6,6,1,1,4,4,9,4,1,4,1,2,2,1,1,0,1,1,1,1,1,16,80,0,,1,1,1,1,1,1,1,1,1,2,2,22,Economics,Chinese,9,-,"Gender effects on risky decisions, and also people's attitude towards risks in decision making process",5,1,2,1,3,4,4,4,4,4,4,2,3,2,5,5,4,2,2,1,1,2,3,3,3,3,3,3,3,3,3,3.192,4,1,3,4,2,2,1,3,3,1,1,1,60,6,7,13,14,5,7,12,13,13,3,0,0.828591043,10,2,0.61336142,0.9,60,0.630756965,1,60,114,3,0
10,1,9,14,13,1,1,1,1,1,1,1,1,0.012,1,1,2,3,4,3,1,1,2,1,Having both male and female students in your room ,,,"For women's only, the space is much cleaner ",,,7,7,7,6,0,0,0.348638556,0.965479843,0.821270727,0.945503028,3,2,1,1,3,2,1,1,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,5,100,0,,1,1,1,1,1,1,1,1,1,2,2,23,Computer Scienceq,Mexican,2,-,How risk averse a person is based on their gender as well as perceptions of how  cooperative males vs females are. ,1,1,2,5,4,3,2,3,5,4,5,3,3,2,4,2,2,2,1,1,1,1,5,3,5,4,3,3,4,5,2,21.648,22,4,2,3,1,2,1,3,3,1,1,1,60,5,4,6,6,4,4,5,5,4,1,2,0.483775349,6,1,0.245160926,0.5,40,0.47492978,2,40,86,1,0
11,1,9,12,11,2,2,2,2,2,2,2,2,0.75,5,3,2,1,4,1,1,1,2,1,"You can have all of your friends together in your suite or room, no matter their gender.",,,It can be more comfortable and free for some people. ,,,7,7,5,4,0,0,0.532929774,0.603748833,0.605734709,0.794961557,3,2,4,4,2,1,1,1,9,4,1,4,2,1,2,1,1,0,2,1,2,2,2,6,50,0,,1,1,1,1,1,1,1,1,1,1,2,19,Economics ,Brazilian,2,-,Risk aversion and cooperation. ,1,0,2,3,2,4,3,2,3,2,3,2,3,3,3,3,2,2,1,1,1,1,3,3,4,3,3,4,3,3,3,5.16,6,1,4,3,2,2,3,3,3,1,1,2,40,4,4,8,8,4,4,8,8,8,2,1,0.606561235,7,1,0.964476399,0.6,40,0.901922209,1,41,87.4,3,0
12,1,9,12,11,1,1,1,1,1,1,1,1,0.944,6,4,2,1,3,4,1,0,1,1,Friends of the opposite gender can come over,No social stigma,More fun activities,You can close yourself off and only do work,,,6,5,6,6,1,1,0.202412312,0.366094283,0.711019677,0.959965939,4,2,4,4,1,1,1,1,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,11,99,0,,1,1,1,1,1,1,1,2,2,2,2,23,BIOLOGY,LITUANIAN,8,-,"Confidence in other people, and risk taking, and testing whether we are rational in our descisions",1,0,2,3,4,4,4,2,3,2,3,4,1,3,2,2,3,2,2,3,2,2,2,4,3,4,2,1,2,2,4,10.728,11,2,4,1,3,2,1,3,3,4,2,1,0,4,5,7,6,3,5,6,5,5,6,0,0.018936863,1,1,0.307785649,0,40,0.547807941,1,0,30,1,0
13,1,9,20,19,1,1,1,1,1,1,1,1,0.041,1,1,2,3,4,4,1,1,1,1,Being able to visit all my friends. ,Being able to have girls over.,Being able to go to Party's and host them.,Having gender normative space. ,Save space for relgious purposes.,,11,10,9,9,0,0,0.518677143,0.3616713,0.754966163,0.229805992,8,4,9,9,5,3,10,10,9,1,4,4,2,1,2,2,2,0,1,1,1,1,1,10,100,0,,1,1,1,1,1,1,1,2,2,2,2,23,Politicial Science and SRPP,German,1,-,Gender Discrimination ,7,1,2,4,4,4,3,3,5,4,2,2,5,5,2,2,5,4,1,1,1,1,2,2,3,3,2,2,2,2,4,21.12,22,4,2,3,1,2,1,3,3,3,1,1,60,6,8,13,10,5,8,12,9,5,5,0,0.465939741,6,1,0.366821184,0.5,40,0.761384601,1,60,114,3,1
14,1,9,22,21,1,1,1,1,1,1,1,1,0.358,3,2,1,3,4,1,1,1,2,1,You can have your friends from different gender visit you in your room.,"More diverse people live on a visitation floor, which makes it easier to interact with them.",,The building is usually more quiet.,The laundry room is cleaner.,,11,11,11,10,0,0,0.55615856,0.797203678,0.663951349,0.193477757,7,4,3,3,1,1,11,11,9,4,1,4,2,1,2,2,1,0,1,1,1,1,1,11,100,0,,1,1,1,1,1,1,1,1,2,2,2,18,Biology,Macedonian,3,Orthodox,Seeing the extent to which people would risk for financial goods.,2,1,2,4,4,4,3,4,5,5,5,2,1,3,2,4,4,5,2,1,1,1,5,2,1,5,2,4,4,3,4,7.176,8,2,1,4,3,3,3,3,3,4,2,1,0,9,4,11,13,8,4,10,12,4,7,0,0.772943267,9,2,0.785954672,0.8,60,0.214072146,2,60,114,4,0
15,1,9,20,19,2,2,2,2,2,2,2,2,0.871,6,4,2,1,3,4,1,0,2,1,Friends can come over easily regardless of gender.,,,"Less people to compete for laundtry spots, as most students livining in non-vis are locals who go back home frequently.",Quieter as parties normally happen at visitation floors.,,10,10,10,9,1,1,0.295776442,0.389564187,0.382515678,0.530172119,6,3,7,7,5,3,3,3,9,4,1,4,2,1,2,1,1,0,2,1,2,2,2,1,80,0,,1,1,1,1,1,1,1,1,2,2,2,21,Economics,Chinese,8,,risk aversion ,2,1,2,4,3,4,4,4,4,4,3,3,1,3,4,4,2,3,3,2,2,2,3,4,3,4,4,5,4,3,1,2.664,3,1,3,2,4,2,1,3,3,1,1,2,40,7,7,12,13,7,7,12,13,13,12,0,0.157968978,2,1,0.312514989,0.1,40,0.505422717,1,40,86,3,0
16,1,9,20,19,1,1,2,1,1,1,2,1,0.003,1,1,2,3,4,3,1,0,2,1,My guy friends can easily visit my room,,,There is less people so it is generally more peaceful,,,10,10,10,9,1,1,0.356130568,0.486464384,0.801783387,0.031002984,5,3,6,6,1,1,10,10,9,1,1,4,2,1,2,1,1,0,1,1,1,2,1,7,80,0,,1,1,1,1,1,1,1,2,2,2,2,21,Computer Science,Pakisan,5,,Seeing the influence of a specific gender in your decision-making. For e.g if they are trust-worthy or not.,2,0,2,3,3,4,4,5,5,4,4,3,1,5,4,4,5,5,1,1,1,1,3,2,3,5,3,4,4,2,5,5.784,6,1,4,3,2,2,1,3,3,3,1,2,40,8,6,11,12,7,6,11,11,7,0,3,0.186902,3,1,0.046598275,0.2,40,0.449624844,2,40,86,3,1
18,1,9,10,9,2,1,2,2,2,1,2,2,0.128,1,1,2,3,4,1,1,1,2,1,Being able to talk to visit male friends,,,Can be more open in front of peers of the same gender,,,5,5,5,4,0,0,0.045761893,0.309179704,0.024637135,0.262760519,5,3,5,5,5,3,4,4,9,4,4,4,2,1,2,1,1,0,2,1,1,2,2,2,50,1,"female tend to think more than male, so i feel like the chances of female playing it safe is more likely than male",1,1,1,1,1,1,1,1,1,1,2,19,economics,taiwan,10,daoism,exploring whether female and male make different monetary decisions,1,1,2,2,4,4,3,3,4,4,4,5,2,4,4,4,3,4,1,1,1,4,2,4,3,2,4,4,4,3,2,3.24,4,1,3,4,2,2,1,3,3,2,2,1,0,4,3,6,6,4,3,6,6,4,2,1,0.823414917,10,1,0.74208522,0.9,40,0.068319612,2,40,86,2,0
19,1,9,10,9,1,2,2,2,1,2,2,2,0.376,3,2,1,3,4,2,1,0,2,1,It is more welcoming for people who don't identify as male or female.,My friends can come over!,,"Perhaps, there is more of a \qsisterhood\q type feeling.",,,5,5,5,4,0,0,0.023005471,0.721240841,0.434486558,0.134454137,5,3,2,2,5,3,5,5,9,4,1,4,2,1,2,1,1,0,2,1,1,2,2,1,80,1,gender,1,1,1,1,1,1,1,1,1,1,2,21,Computer Science,USA,7,-,Whether gender has a role in how much we trust others and thus how we make our decisions,0,1,2,5,3,3,3,2,4,3,5,2,1,4,4,3,2,2,1,2,1,1,4,2,3,2,5,3,4,4,3,9.696,10,2,3,4,1,3,1,3,3,2,1,2,40,4,4,7,7,3,4,7,7,4,3,0,0.734919962,9,1,0.611874158,0.8,40,0.024841441,2,40,86,1,0
20,1,9,12,11,1,1,1,2,1,1,1,2,0.393,3,2,1,3,4,3,1,1,2,1,Your friends from the other gender can visit ,Social Gatherings are more diverse ,,They're usually more peaceful ,They're good if you pratice hijab,,6,6,6,5,1,1,0.63744636,0.128645006,0.426392484,0.187462538,2,1,5,5,3,2,6,6,9,4,1,4,2,1,2,1,1,0,1,1,1,1,2,6,90,0,,1,1,1,1,1,1,1,1,2,2,2,21,Art and Art History ,Pakistani,5,-,"Perceptions of gender in decision making, trust ",1,1,2,4,4,3,3,5,3,4,5,3,3,2,5,4,2,5,1,2,1,2,4,2,2,4,5,4,4,4,3,18.768,19,4,1,2,3,2,1,3,3,3,1,1,60,5,4,6,6,4,4,5,6,4,2,1,0.561619464,7,1,0.58381376,0.6,40,0.378481768,2,40,86,3,1
1,1,10,16,15,2,2,1,1,2,2,1,1,0.953,6,4,2,1,3,2,1,1,2,1,I can get male guests,"When having parties, it can have all genders",You get to interact with more people,You can walk in your shorts,You dont have to worry about meeting opposite genders when inappropiate,It's more quiet,8,8,8,7,1,1,0.055077235,0.901902244,0.034140785,0.488592344,8,4,2,2,8,4,5,5,9,4,1,4,1,1,2,1,1,0,1,1,2,2,1,5,70,0,,1,1,1,1,1,1,1,1,2,2,2,22,Psychology,Kenyan,2,,Whether knowing someone of the same gender will affect my decision as well as the likelihood of taking a risk.,0,0,2,3,4,4,4,4,5,3,3,3,1,3,2,2,4,5,1,2,1,2,4,2,3,3,4,4,3,4,3,10.752,11,2,4,1,3,2,3,3,3,1,2,2,40,5,6,9,10,5,6,8,9,9,4,0,0.782920799,9,2,0.768978837,0.8,60,0.680397088,1,40,86,3,1
2,1,10,14,13,1,2,2,2,1,2,2,2,0.033,1,1,2,3,4,1,1,0,2,1,Having boys over,My boyfriend can sometimes stay at my place,potentially less conserative roommates,Cleaner I heard,Less noise at night,Suitemates tend to leave campus for home on weekdays and weekends,7,7,7,6,0,0,0.355257308,0.004667803,0.172180808,0.452528367,5,3,7,7,6,3,5,5,9,4,3,4,2,1,2,1,1,0,1,1,2,2,2,3,50,1,Female. I thought of one of my friends in this experiment. She's smart and I believe she might chose Choice 1 as well as she sees a female (considering that we kinda think the same) not sure though!,1,1,1,1,1,2,1,2,2,2,2,19,"Economics, Legal Studies",Moroccan,5,,Probably assessing the level of trust between genders and how ready are people to take a risk in general,5,0,2,4,2,4,3,4,5,2,2,2,2,4,5,5,1,1,1,1,2,1,4,2,3,4,5,5,4,2,3,20.4,21,4,2,1,3,2,3,3,1,4,1,2,40,5,7,12,13,4,7,12,13,4,1,2,0.895187511,10,2,0.007070262,0.9,60,0.599907393,1,42,88.8,4,0
3,1,10,14,13,1,2,1,2,1,2,1,2,0.489,3,2,1,3,4,1,1,1,1,1,more flexibility,,,safer,,,7,6,7,7,0,0,0.068402277,0.801488406,0.950096701,0.78094834,6,3,2,2,1,1,3,3,9,4,1,4,2,1,2,2,2,0,2,1,1,1,2,6,80,1,gender,1,1,1,1,1,1,1,2,2,2,2,18,computer science and economics,China,9,-,decision making,10,0,2,1,3,1,5,5,3,2,1,3,1,4,5,4,1,1,3,1,1,4,4,1,2,4,4,1,1,2,4,14.16,15,3,2,1,4,2,1,3,3,1,1,1,60,6,5,6,7,5,5,5,7,5,1,2,0.685363834,8,2,0.576568785,0.7,60,0.906723932,1,62,116.8,2,0
4,1,10,16,15,1,1,1,1,1,1,1,1,0.077,1,1,2,3,4,3,1,0,1,1,"Any of my friends, regardless of their gender can visit me. ",My girlfriend is able to visit me.,There is more diversity on the floor. ,Those with religious preferences or other restrictions are able to live in a comfortable area. ,,,8,7,8,8,1,1,0.555309064,0.918432189,0.965293862,0.154030556,2,1,2,2,2,1,7,7,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,6,85,0,,1,1,1,1,1,1,1,2,2,2,2,25,Film and New Media,Hungarian ,9,,gender bias in decision making,3,1,2,4,4,2,4,3,5,4,3,3,4,2,2,2,2,5,2,1,1,1,1,3,4,5,2,1,3,5,5,20.328,21,4,2,1,3,2,1,3,3,2,2,1,0,4,3,8,7,3,3,7,6,3,3,0,0.407801895,5,1,0.471401947,0.4,40,0.572597007,1,0,30,2,0
5,1,10,16,15,1,1,1,1,1,1,1,1,0.885,6,4,2,1,3,1,1,1,1,1,freedom of visit by any gender,having a more lively dorm environment ,the freedom to bring friends over and have fun,"more quiet, personal space ",more freedom in choice of room type ,less busy laundry rooms ,8,7,8,8,1,1,0.920443626,0.896023588,0.849779809,0.025521496,1,1,1,1,3,2,8,8,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,14,90,0,,1,1,1,1,1,1,1,2,2,2,2,20,Mechanical Engineering,Afghanistan,5,,rational economic decision making and game theory ,5,0,2,2,4,5,4,4,4,3,4,4,1,2,4,4,2,4,4,1,3,5,3,5,3,3,3,2,2,3,4,1.368,2,1,2,4,3,2,1,3,3,2,2,1,0,3,6,7,8,2,6,6,7,7,7,0,0.741367886,9,2,0.930890122,0.8,0,0.470279289,2,0,30,2,0
6,1,10,18,17,1,1,2,2,1,1,2,2,0.3,2,1,2,4,3,2,1,0,2,0,Sense of community,Ease of getting help with homework from classmates,,Its more peaceful,"There is only one sex, so you can dress as however in the building without worry",The laundry system is awesome,9,9,9,8,0,0,0.693486748,0.720950819,0.95916159,0.090721391,1,1,4,4,1,1,7,7,9,1,2,4,1,1,2,2,1,0,1,1,1,2,2,8,100,0,,1,1,1,1,1,1,1,1,1,1,1,20,Mechanical Engineering ,Zimbabwean,3,,making decisions ,2,0,2,5,5,3,2,2,5,2,5,2,2,5,4,4,5,1,2,5,1,1,3,2,3,5,2,4,3,5,1,18.408,19,4,1,2,3,2,1,3,3,2,1,1,60,4,3,5,8,3,3,5,8,3,5,0,0.248803118,3,1,0.916493676,0.2,40,0.702480038,1,60,114,2,0
7,1,10,16,15,1,1,1,1,1,1,1,1,0.333,2,1,2,4,3,3,1,0,1,1,I get the chance to see majority of my friend group in my room,I could host great movie nights and study sessions,Generally spend time with people I care about in the privacy of my own dorm.,It's more quiet,Have more time to myself,,8,7,8,8,1,1,0.203901675,0.239084253,0.624306205,0.803498033,8,4,7,7,6,3,2,2,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,7,100,0,-,1,1,1,1,1,1,1,2,2,2,2,20,Political Science,Filipino,2,-,This experiement was about understanding how far a person would be willing to risk it when actual payment is on the line.,5,0,2,4,4,4,3,3,5,4,3,3,4,3,3,3,5,5,3,3,1,4,2,5,4,5,4,3,1,1,5,9.192,10,2,3,4,1,2,1,3,3,4,1,1,60,6,6,13,13,5,6,12,12,5,2,1,0.074354603,1,1,0.553896946,0,40,0.340517005,2,40,86,3,0
