CaseNumber,IPAddress,DurationInMins,GroupSize,Mechanism,Cooperation,ExpCo,Nother,ExpCoP,PercEffi,conflict1,conflict2,conflict2r,conflict3,conflict4,conflict4r,conflict5,conflict6,conflict6r,Conflict,IR1_Q1,IR1_Q2,IR2_Q1,IR2_Q2,IR3_Q1,IR3_Q2,IR4_Q1,IR4_Q2,PunishQ1_1,PunishQ1_2,PunishQ1_3,PunishQ1_4,PunishQ2_1,PunishQ2_2,PunishQ2_3,PunishQ2_4,PunishQ3_1,PunishQ3_2,PunishQ3_3,PunishQ3_4,PunishQ4_1,PunishQ4_2,PunishQ4_3,PunishQ4_4,Age,Gender
493,173.169.202.219,8.016666666666667,40-person group,control,contribute 20,30,39,0.7692307692307693,5,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","neutral
3
",3,"completely disagree
1
","slightly agree
4
",2,2,,,,,,,,,,,,,,,,,,,,,,,,,23,Male
494,107.77.225.169,8.016666666666667,4-person group,punishment,contribute 20,3,3,1,7,"neutral
3
","slightly disagree
2
",4,"completely agree
5
","neutral
3
",3,"slightly agree
4
","slightly agree
4
",2,3.5,,,,,,,,,0,0,0,10,0,0,0,10,3,3,4,0,3,3,4,0,34,Male
495,75.107.54.175,8.016666666666667,4-person group,punishment,contribute 20,2,3,0.6666666666666666,6,"slightly disagree
2
","completely agree
5
",1,"slightly disagree
2
","completely agree
5
",1,"slightly disagree
2
","slightly disagree
2
",4,2,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,39,Female
496,172.58.21.251,8.016666666666667,40-person group,reputation,contribute 20,30,39,0.7692307692307693,2,"completely disagree
1
","completely agree
5
",1,"slightly agree
4
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1.5,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 3 (contribute 0 tokens),0 tokens,,,,,,,,,,,,,,,,,48,Male
497,207.75.102.2,8.016666666666667,40-person group,control,contribute 20,39,39,1,5,"slightly disagree
2
","slightly agree
4
",2,"slightly agree
4
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,2.3333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,69,Female
498,76.24.25.112,8,20-person group,control,contribute 0,5,19,0.2631578947368421,2,"completely agree
5
","completely disagree
1
",5,"completely agree
5
","completely disagree
1
",5,"completely agree
5
","completely disagree
1
",5,5,,,,,,,,,,,,,,,,,,,,,,,,,43,Male
499,108.48.147.136,7.983333333333333,4-person group,punishment,contribute 20,3,3,1,6,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,25,Male
500,107.77.232.109,7.983333333333333,40-person group,reputation,contribute 0,15,39,0.38461538461538464,1,"slightly disagree
2
","completely disagree
1
",5,"slightly agree
4
","slightly agree
4
",2,"slightly agree
4
","slightly disagree
2
",4,3.5,I choose no one,,I choose no one,,I choose no one,,I choose no one,,,,,,,,,,,,,,,,,,40,Female
501,216.81.94.72,7.966666666666667,20-person group,reputation,contribute 0,19,19,1,7,"neutral
3
","neutral
3
",3,"neutral
3
","neutral
3
",3,"neutral
3
","neutral
3
",3,3,Member 3 (contribute 20 tokens),6 tokens,Member 3 (contribute 0 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 2 (contribute 0 tokens),6 tokens,,,,,,,,,,,,,,,,,38,Female
502,75.28.96.233,7.95,20-person group,punishment,contribute 20,10,19,0.5263157894736842,5,"neutral
3
","slightly agree
4
",2,"neutral
3
","slightly agree
4
",2,"slightly disagree
2
","neutral
3
",3,2.5,,,,,,,,,0,0,0,10,0,0,3,7,0,0,3,7,1,1,1,7,25,Female
503,108.184.205.177,7.95,40-person group,control,contribute 20,39,39,1,7,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1,,,,,,,,,,,,,,,,,,,,,,,,,39,Male
504,213.205.198.7,7.933333333333334,4-person group,control,contribute 20,1,3,0.3333333333333333,4,"slightly disagree
2
","slightly disagree
2
",4,"slightly agree
4
","slightly disagree
2
",4,"slightly disagree
2
","slightly disagree
2
",4,3.3333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,36,Male
505,73.111.187.57,7.933333333333334,20-person group,punishment,contribute 0,10,19,0.5263157894736842,3,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"neutral
3
","neutral
3
",3,2.3333333333333335,,,,,,,,,0,0,0,10,0,0,0,10,1,1,1,7,1,0,1,8,68,Male
506,128.138.65.102,7.9,20-person group,punishment,contribute 20,12,19,0.631578947368421,3,"completely disagree
1
","slightly disagree
2
",4,"slightly agree
4
","slightly disagree
2
",4,"slightly agree
4
","completely agree
5
",1,3,,,,,,,,,3,2,2,3,0,0,6,4,0,4,4,2,3.33,3.33,3.33,0.01,18,Female
507,184.6.103.105,7.883333333333334,4-person group,reputation,contribute 20,2,3,0.6666666666666666,6,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 3 (contribute 0 tokens),0 tokens,,,,,,,,,,,,,,,,,39,Female
508,138.128.243.238,7.883333333333334,20-person group,control,contribute 20,1,19,0.05263157894736842,5,"neutral
3
","slightly agree
4
",2,"slightly agree
4
","slightly agree
4
",2,"slightly agree
4
","slightly agree
4
",2,2.8333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,67,Female
509,173.239.232.100,7.866666666666666,40-person group,control,contribute 20,15,39,0.38461538461538464,5,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1,,,,,,,,,,,,,,,,,,,,,,,,,28,Male
510,99.172.113.154,7.866666666666666,20-person group,reputation,contribute 20,14,19,0.7368421052631579,6,"completely disagree
1
","completely agree
5
",1,"slightly disagree
2
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1.1666666666666667,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 3 (contribute 0 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,43,Female
511,73.17.32.39,7.85,40-person group,punishment,contribute 0,9,39,0.23076923076923078,2,"slightly disagree
2
","neutral
3
",3,"slightly agree
4
","slightly disagree
2
",4,"neutral
3
","neutral
3
",3,3.1666666666666665,,,,,,,,,0,0,0,10,0,0,0,10,1,1,1,7,0,0,0,10,27,Male
512,174.68.141.159,7.85,4-person group,punishment,contribute 20,3,3,1,7,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1,,,,,,,,,0,0,0,10,0,0,0,10,0,5,5,0,3,3,4,0,31,Female
513,24.182.116.133,7.85,20-person group,punishment,contribute 20,10,19,0.5263157894736842,7,"slightly disagree
2
","completely agree
5
",1,"slightly agree
4
","slightly agree
4
",2,"slightly disagree
2
","completely agree
5
",1,2,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,41,Male
514,174.111.61.7,7.85,4-person group,control,contribute 20,2,3,0.6666666666666666,5,"slightly agree
4
","slightly agree
4
",2,"completely agree
5
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,2.8333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,51,Male
515,173.169.42.229,7.85,40-person group,punishment,contribute 20,39,39,1,7,"completely disagree
1
","completely agree
5
",1,"neutral
3
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1.3333333333333333,,,,,,,,,1,1,1,7,1,1,1,7,1,0,0,9,3,3,4,0,54,Male
516,23.254.144.154,7.816666666666666,40-person group,punishment,contribute 0,34,39,0.8717948717948718,6,"neutral
3
","slightly agree
4
",2,"slightly agree
4
","slightly agree
4
",2,"completely agree
5
","completely agree
5
",1,2.8333333333333335,,,,,,,,,3,2,3,2,2,3,2,3,2,2,2,4,3,3,3,1,24,Male
517,76.31.119.89,7.816666666666666,40-person group,reputation,contribute 20,29,39,0.7435897435897436,5,"slightly disagree
2
","slightly disagree
2
",4,"completely disagree
1
","completely agree
5
",1,"neutral
3
","completely disagree
1
",5,2.6666666666666665,Member 2 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 2 (contribute 0 tokens),6 tokens,,,,,,,,,,,,,,,,,28,Female
518,173.89.169.178,7.816666666666666,40-person group,punishment,contribute 20,11,39,0.28205128205128205,2,"slightly agree
4
","neutral
3
",3,"slightly agree
4
","neutral
3
",3,"slightly agree
4
","neutral
3
",3,3.5,,,,,,,,,0,0,0,10,0,0,3,7,0,3,3,4,3,3,3,1,29,Female
519,66.90.196.193,7.816666666666666,4-person group,punishment,contribute 20,2,3,0.6666666666666666,5,"neutral
3
","completely agree
5
",1,"slightly disagree
2
","completely agree
5
",1,"neutral
3
","completely agree
5
",1,1.8333333333333333,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,30,Female
520,173.18.179.130,7.816666666666666,20-person group,reputation,contribute 20,10,19,0.5263157894736842,6,"slightly disagree
2
","completely agree
5
",1,"slightly disagree
2
","completely agree
5
",1,"slightly disagree
2
","slightly agree
4
",2,1.6666666666666667,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 3 (contribute 0 tokens),0 tokens,I choose no one,,,,,,,,,,,,,,,,,,36,Female
521,108.51.168.117,7.8,40-person group,reputation,contribute 20,20,39,0.5128205128205128,7,"neutral
3
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","neutral
3
",3,2.3333333333333335,Member 3 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,30,Female
522,174.223.141.134,7.8,4-person group,reputation,contribute 20,2,3,0.6666666666666666,6,"completely disagree
1
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,1.8333333333333333,Member 3 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,41,Female
523,64.99.233.31,7.783333333333333,40-person group,control,contribute 0,6,39,0.15384615384615385,1,"completely disagree
1
","slightly disagree
2
",4,"slightly agree
4
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,2.5,,,,,,,,,,,,,,,,,,,,,,,,,22,Male
524,74.113.40.16,7.783333333333333,4-person group,control,contribute 20,2,3,0.6666666666666666,6,"slightly disagree
2
","completely agree
5
",1,"completely disagree
1
","slightly agree
4
",2,"slightly disagree
2
","completely agree
5
",1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,43,Female
525,47.196.162.88,7.783333333333333,4-person group,reputation,contribute 20,3,3,1,5,"neutral
3
","slightly agree
4
",2,"neutral
3
","slightly agree
4
",2,"neutral
3
","slightly agree
4
",2,2.5,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,45,Female
526,97.106.142.150,7.766666666666667,20-person group,reputation,contribute 20,10,19,0.5263157894736842,4,"slightly disagree
2
","completely agree
5
",1,"slightly agree
4
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,2.1666666666666665,Member 3 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,24,Female
527,174.218.129.63,7.766666666666667,4-person group,punishment,contribute 20,1,3,0.3333333333333333,7,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1,,,,,,,,,,,,10,0,0,1,9,0,1,1,8,3,3,3,1,32,Female
528,76.104.130.121,7.766666666666667,20-person group,reputation,contribute 20,9,19,0.47368421052631576,5,"neutral
3
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"neutral
3
","neutral
3
",3,2,Member 3 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,43,Female
529,209.179.57.192,7.766666666666667,40-person group,control,contribute 20,32,39,0.8205128205128205,5,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1,,,,,,,,,,,,,,,,,,,,,,,,,48,Female
530,76.170.41.150,7.75,40-person group,reputation,contribute 20,39,39,1,7,"slightly agree
4
","slightly disagree
2
",4,"neutral
3
","slightly agree
4
",2,"neutral
3
","slightly agree
4
",2,3,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 0 tokens),6 tokens,,,,,,,,,,,,,,,,,45,Male
531,192.214.98.82,7.716666666666667,4-person group,reputation,contribute 20,2,3,0.6666666666666666,7,"slightly agree
4
","slightly agree
4
",2,"neutral
3
","slightly disagree
2
",4,"slightly agree
4
","neutral
3
",3,3.3333333333333335,Member 1 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),0 tokens,I choose no one,,,,,,,,,,,,,,,,,,26,Male
532,184.90.247.11,7.716666666666667,4-person group,reputation,contribute 20,0,3,0,7,"slightly agree
4
","slightly agree
4
",2,"completely agree
5
","slightly agree
4
",2,"neutral
3
","neutral
3
",3,3.1666666666666665,Member 2 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,30,Female
533,45.116.233.59,7.716666666666667,4-person group,control,contribute 0,0,3,0,6,"neutral
3
","slightly agree
4
",2,"completely agree
5
","slightly agree
4
",2,"completely agree
5
","slightly agree
4
",2,3.1666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,44,Female
534,73.235.33.27,7.683333333333334,40-person group,reputation,contribute 20,24,39,0.6153846153846154,5,"neutral
3
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,2.1666666666666665,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 3 (contribute 0 tokens),0 tokens,,,,,,,,,,,,,,,,,34,Male
535,68.100.234.168,7.666666666666667,40-person group,punishment,contribute 20,25,39,0.6410256410256411,7,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1,,,,,,,,,0,0,0,10,0,0,2,8,0,1,1,8,1,1,1,7,28,Male
536,66.18.39.239,7.65,20-person group,punishment,contribute 0,5,19,0.2631578947368421,1,"completely disagree
1
","slightly disagree
2
",4,"slightly agree
4
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,2,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,28,Male
537,108.78.54.120,7.65,40-person group,reputation,contribute 20,39,39,1,7,"slightly disagree
2
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1.1666666666666667,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,32,Male
538,98.251.53.104,7.65,4-person group,punishment,contribute 20,3,3,1,7,"slightly disagree
2
","completely agree
5
",1,"slightly disagree
2
","completely agree
5
",1,"slightly disagree
2
","neutral
3
",3,1.8333333333333333,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,10,3,3,4,0,41,Female
539,24.230.151.98,7.65,40-person group,control,contribute 20,19,39,0.48717948717948717,5,"slightly disagree
2
","completely agree
5
",1,"slightly disagree
2
","completely agree
5
",1,"slightly disagree
2
","completely agree
5
",1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,65,Female
540,73.61.147.171,7.633333333333334,40-person group,control,contribute 20,39,39,1,7,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1,,,,,,,,,,,,,,,,,,,,,,,,,23,Female
541,199.90.60.4,7.633333333333334,40-person group,punishment,contribute 20,30,39,0.7692307692307693,5,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"completely disagree
1
","slightly disagree
2
",4,2.1666666666666665,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,37,Male
542,131.191.22.167,7.633333333333334,40-person group,reputation,contribute 20,10,39,0.2564102564102564,7,"completely disagree
1
","completely agree
5
",1,"slightly disagree
2
","completely agree
5
",1,"completely disagree
1
","neutral
3
",3,1.5,Member 1 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 0 tokens),6 tokens,,,,,,,,,,,,,,,,,38,Female
543,67.247.14.78,7.616666666666666,20-person group,reputation,contribute 20,15,19,0.7894736842105263,5,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly disagree
2
",4,"neutral
3
","slightly agree
4
",2,2.5,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,20,Male
544,73.74.29.241,7.616666666666666,4-person group,punishment,contribute 20,3,3,1,5,"neutral
3
","slightly agree
4
",2,"neutral
3
","neutral
3
",3,"slightly agree
4
","neutral
3
",3,3,,,,,,,,,0,0,0,10,0,0,10,0,0,5,5,0,3,3,4,0,31,Female
545,71.34.100.64,7.6,4-person group,control,contribute 20,2,3,0.6666666666666666,6,"slightly agree
4
","slightly agree
4
",2,"neutral
3
","slightly agree
4
",2,"slightly agree
4
","completely agree
5
",1,2.6666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,32,Female
546,128.210.107.88,7.6,4-person group,reputation,contribute 20,3,3,1,7,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 0 tokens),6 tokens,,,,,,,,,,,,,,,,,39,Male
547,24.211.141.175,7.6,40-person group,reputation,contribute 20,15,39,0.38461538461538464,5,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,2,Member 3 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,45,Female
548,76.121.225.101,7.583333333333333,20-person group,control,contribute 0,19,19,1,4,"slightly agree
4
","slightly agree
4
",2,"completely agree
5
","slightly agree
4
",2,"completely agree
5
","slightly disagree
2
",4,3.6666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,29,Female
549,73.68.104.132,7.583333333333333,40-person group,reputation,contribute 20,19,39,0.48717948717948717,5,"neutral
3
","completely agree
5
",1,"neutral
3
","completely agree
5
",1,"neutral
3
","completely agree
5
",1,2,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 0 tokens),6 tokens,,,,,,,,,,,,,,,,,34,Female
550,174.103.149.5,7.583333333333333,40-person group,control,contribute 20,30,39,0.7692307692307693,5,"neutral
3
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"neutral
3
","neutral
3
",3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,44,Female
551,69.115.48.6,7.566666666666666,20-person group,control,contribute 0,5,19,0.2631578947368421,2,"slightly agree
4
","neutral
3
",3,"slightly agree
4
","slightly disagree
2
",4,"neutral
3
","neutral
3
",3,3.5,,,,,,,,,,,,,,,,,,,,,,,,,28,Male
552,24.1.167.148,7.566666666666666,20-person group,control,contribute 20,10,19,0.5263157894736842,7,"slightly disagree
2
","slightly agree
4
",2,"neutral
3
","slightly agree
4
",2,"slightly disagree
2
","neutral
3
",3,2.3333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,46,Male
553,69.62.206.232,7.566666666666666,4-person group,punishment,contribute 20,3,3,1,7,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,52,Male
554,172.58.3.178,7.55,4-person group,control,contribute 20,2,3,0.6666666666666666,3,"slightly agree
4
","slightly agree
4
",2,"slightly agree
4
","slightly disagree
2
",4,"slightly agree
4
","neutral
3
",3,3.5,,,,,,,,,,,,,,,,,,,,,,,,,28,Male
555,71.185.54.199,7.55,4-person group,control,contribute 20,3,3,1,6,"completely disagree
1
","slightly agree
4
",2,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1.1666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,31,Male
556,104.162.20.64,7.55,20-person group,reputation,contribute 20,11,19,0.5789473684210527,4,"neutral
3
","slightly disagree
2
",4,"slightly disagree
2
","slightly disagree
2
",4,"slightly agree
4
","neutral
3
",3,3.3333333333333335,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,32,Male
557,65.31.130.79,7.55,20-person group,punishment,contribute 20,15,19,0.7894736842105263,7,"completely disagree
1
","completely agree
5
",1,"slightly disagree
2
","slightly agree
4
",2,"completely disagree
1
","completely agree
5
",1,1.3333333333333333,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,38,Male
558,96.59.27.60,7.533333333333333,20-person group,control,contribute 20,14,19,0.7368421052631579,6,"slightly disagree
2
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1.1666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,27,Male
559,184.14.96.132,7.533333333333333,40-person group,control,contribute 0,6,39,0.15384615384615385,3,"slightly agree
4
","slightly agree
4
",2,"slightly agree
4
","neutral
3
",3,"slightly agree
4
","slightly agree
4
",2,3.1666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,30,Female
560,175.158.203.254,7.516666666666667,20-person group,reputation,contribute 0,5,19,0.2631578947368421,2,"neutral
3
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"slightly agree
4
","slightly disagree
2
",4,2.8333333333333335,Member 1 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 0 tokens),0 tokens,,,,,,,,,,,,,,,,,24,Female
561,174.255.3.23,7.516666666666667,40-person group,punishment,contribute 20,35,39,0.8974358974358975,6,"slightly disagree
2
","completely disagree
1
",5,"completely agree
5
","completely disagree
1
",5,"completely agree
5
","neutral
3
",3,4.166666666666667,,,,,,,,,0,0,0,10,0,0,3,7,0,3,3,4,3,3,3,1,35,Female
562,70.189.224.54,7.516666666666667,20-person group,reputation,contribute 20,15,19,0.7894736842105263,7,"completely disagree
1
","slightly agree
4
",2,"completely disagree
1
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,1.6666666666666667,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 2 (contribute 0 tokens),6 tokens,,,,,,,,,,,,,,,,,36,Female
563,107.77.227.100,7.5,40-person group,control,contribute 20,35,39,0.8974358974358975,7,"slightly disagree
2
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1.1666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,23,Female
564,69.247.115.227,7.5,20-person group,reputation,contribute 20,15,19,0.7894736842105263,6,"slightly agree
4
","completely agree
5
",1,"slightly disagree
2
","completely agree
5
",1,"neutral
3
","slightly disagree
2
",4,2.5,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,26,Female
565,70.231.17.55,7.5,4-person group,control,contribute 0,3,3,1,6,"neutral
3
","completely agree
5
",1,"slightly disagree
2
","completely agree
5
",1,"slightly disagree
2
","completely agree
5
",1,1.6666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,70,Male
566,73.164.115.221,7.466666666666667,4-person group,control,contribute 20,3,3,1,7,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1,,,,,,,,,,,,,,,,,,,,,,,,,20,Female
567,174.97.19.117,7.433333333333334,20-person group,reputation,contribute 20,14,19,0.7368421052631579,6,"completely disagree
1
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,1.8333333333333333,Member 1 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,39,Female
568,174.231.135.35,7.416666666666667,20-person group,reputation,contribute 20,14,19,0.7368421052631579,5,"slightly agree
4
","slightly agree
4
",2,"completely agree
5
","slightly agree
4
",2,"neutral
3
","slightly agree
4
",2,3,Member 2 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),0 tokens,Member 2 (contribute 0 tokens),6 tokens,Member 3 (contribute 0 tokens),6 tokens,,,,,,,,,,,,,,,,,25,Male
569,108.92.75.23,7.416666666666667,4-person group,punishment,contribute 20,2,3,0.6666666666666666,7,"completely disagree
1
","slightly agree
4
",2,"slightly disagree
2
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1.3333333333333333,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,10,3,3,4,0,29,Male
570,207.225.104.164,7.416666666666667,40-person group,reputation,contribute 20,25,39,0.6410256410256411,7,"neutral
3
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1.3333333333333333,I choose no one,,I choose no one,,I choose no one,,I choose no one,,,,,,,,,,,,,,,,,,40,Female
571,75.165.47.9,7.4,4-person group,reputation,contribute 20,3,3,1,7,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,25,Male
572,74.135.13.25,7.4,40-person group,reputation,contribute 20,24,39,0.6153846153846154,5,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,2,Member 1 (contribute 20 tokens),0 tokens,Member 2 (contribute 20 tokens),0 tokens,Member 1 (contribute 20 tokens),0 tokens,I choose no one,,,,,,,,,,,,,,,,,,33,Male
